starttime,lane_1_occ,lane_1_spd,lane_1_vol,lane_2_occ,lane_2_spd,lane_2_vol,lane_3_occ,lane_3_spd,lane_3_vol,lane_r_1_vol
"2017-07-10 20:50:00-07",7.27,65.12,58,5.67,69.15,68,3.4,72.15,59,
"2017-07-10 20:55:00-07",7.43,62.05,58,5.57,68.35,65,3.57,70.82,60,
"2017-07-10 21:00:00-07",6.07,62.64,58,5.6,68.72,68,2.4,72.58,48,
"2017-07-10 21:05:00-07",3.43,66.7,37,4.86,71.56,64,2.36,71.71,38,
"2017-07-10 21:10:00-07",3.22,63.37,19,3.56,66.54,24,1.56,70.59,22,
"2017-07-10 21:15:00-07",5.64,62.38,39,2.86,67.93,45,1.29,71.58,24,
"2017-07-10 21:20:00-07",5.22,57.75,24,5.78,68.69,39,3,69.03,29,
"2017-07-10 21:25:00-07",5,65.32,38,3.64,69.36,44,1.29,65.2,30,
"2017-07-10 21:30:00-07",6.87,61.91,46,3.33,69.12,33,0.4,71.41,17,
"2017-07-10 21:35:00-07",3.79,59.37,41,5.07,65.69,55,0.93,68.26,27,
"2017-07-10 21:40:00-07",1.4,52.12,17,6.6,61.4,67,2.33,66.1,40,
"2017-07-10 21:45:00-07",3.71,62.68,37,1.64,68.52,25,1.07,70,25,
"2017-07-10 21:50:00-07",4,62.59,34,3.67,66.37,51,0.53,69.39,23,
"2017-07-10 21:55:00-07",4.29,63.3,33,3.86,67.07,41,1.79,72.29,34,
"2017-07-10 22:00:00-07",4.56,63.5,36,5.67,66.38,37,2.67,71.6,30,
"2017-07-10 22:05:00-07",5.93,59.41,37,4.57,67.49,41,2.07,68.81,32,
"2017-07-10 22:10:00-07",2.91,63.82,22,4.64,67.88,32,1.91,70.21,24,
"2017-07-10 22:15:00-07",2.42,60,22,4.5,66.89,38,0.33,70.75,12,
"2017-07-10 22:20:00-07",1.33,67.23,26,4,65.23,52,2.27,67.85,40,
"2017-07-10 22:25:00-07",4,61.73,33,3.43,68.05,38,1.29,70.22,27,
"2017-07-10 22:30:00-07",5.27,63.16,37,3.6,67.98,49,1.67,70.65,37,
"2017-07-10 22:35:00-07",3.38,64.9,20,3.25,67.88,17,0.88,71.85,13,
