starttime,lane_1_occ,lane_1_spd,lane_1_vol,lane_2_occ,lane_2_spd,lane_2_vol,lane_3_occ,lane_3_spd,lane_3_vol
"2017-08-20 12:10:00-07",9.14,66.01,140,9.71,65.44,116,8.29,63.04,99
"2017-08-20 12:15:00-07",10.4,61.19,54,8.8,62.68,38,10.2,58,39
"2017-08-20 12:20:00-07",9.64,64.92,145,9.5,63.56,106,6.79,60.36,98
"2017-08-20 12:25:00-07",10.82,63.71,125,10.18,63.53,97,7.18,59.86,72
"2017-08-20 12:30:00-07",9,63.72,135,9.71,62.85,106,11.07,55.97,118
"2017-08-20 12:35:00-07",10.09,63.77,117,7.91,63.94,77,12.45,55.78,93
"2017-08-20 12:40:00-07",8.64,62.91,128,9,64.2,109,10.21,59.25,112
"2017-08-20 12:45:00-07",11,60.55,121,8.45,60.17,82,9.91,59.03,94
"2017-08-20 12:50:00-07",8.79,63.62,130,8.43,62.99,92,7.86,59.91,106
"2017-08-20 12:55:00-07",9.09,61.69,93,9.82,57.12,73,9.27,54.01,76
"2017-08-20 13:00:00-07",10.93,63.31,158,9.93,62.55,114,8.21,61.22,102
"2017-08-20 13:05:00-07",7.91,62.7,91,8.82,61.46,81,8.09,59.08,78
"2017-08-20 13:10:00-07",8.71,63.58,131,8.93,63.38,94,9.86,57.67,98
"2017-08-20 13:15:00-07",8.73,63.67,108,8.64,64.04,83,11.64,57.68,99
"2017-08-20 13:20:00-07",11.57,60.79,159,9.64,61.99,122,9.79,56.51,121
"2017-08-20 13:25:00-07",9.27,62.95,106,7.55,63.79,78,9,55.51,70
"2017-08-20 13:30:00-07",10.36,58.88,145,9.57,59.93,108,11.43,55.81,135
"2017-08-20 13:35:00-07",8.45,63.58,101,8,64.04,81,7.91,60.59,79
"2017-08-20 13:40:00-07",8.79,63.11,134,8.71,60.7,106,10.21,55.05,111
"2017-08-20 13:45:00-07",9.64,60.61,107,11.73,58.96,93,9.64,55.12,85
"2017-08-20 13:50:00-07",8.71,61.32,120,7.86,62.6,95,9.21,59.03,107
"2017-08-20 13:55:00-07",11,59.5,111,11.18,61.31,97,9.55,58.4,81
"2017-08-20 14:00:00-07",9.64,62.68,136,10,63.86,123,9.21,60.81,116
"2017-08-20 14:05:00-07",9.55,62.65,113,8.82,64.92,95,9.36,57.2,85
"2017-08-20 14:10:00-07",8.71,62.55,126,8.5,62.87,101,10.21,55.23,115
